on x=-48..0,y=-47..2,z=-6..48
on x=-37..11,y=-21..23,z=-28..19
on x=-16..36,y=-45..3,z=-41..7
on x=-4..40,y=-40..11,z=-35..9
on x=-28..22,y=-12..36,z=-33..20
on x=-30..14,y=-7..40,z=-48..6
on x=-47..-2,y=-1..47,z=-13..34
on x=-15..38,y=-3..47,z=-13..34
on x=-16..30,y=-13..37,z=-48..3
on x=-44..8,y=-24..26,z=-13..31
off x=-2..15,y=-35..-23,z=-4..10
on x=-22..31,y=-9..45,z=-24..25
off x=7..20,y=-16..3,z=-23..-12
on x=-38..16,y=-18..34,z=-28..22
off x=10..22,y=22..39,z=-30..-19
on x=-29..22,y=-16..36,z=-9..35
off x=-6..9,y=13..25,z=17..33
on x=-27..17,y=-44..7,z=-13..33
off x=-15..4,y=10..23,z=22..41
on x=-17..31,y=-44..4,z=-23..25
on x=-40678..-15491,y=-18184..-3536,z=-80941..-68329
on x=7296..11436,y=64939..93956,z=-19887..3032
on x=35786..58210,y=-43088..-14839,z=40306..67201
on x=-21869..-1648,y=-65655..-52675,z=-73289..-34572
on x=-1236..17755,y=-30389..5847,z=60402..93988
on x=52205..71608,y=20097..43055,z=-34397..-28187
on x=-63025..-36457,y=-19215..8363,z=63634..77427
on x=2715..23980,y=-28502..-6308,z=-78734..-77583
on x=-5875..11949,y=-58272..-45632,z=53190..65176
on x=-78514..-60259,y=-21591..-8539,z=27281..58549
on x=-63434..-61785,y=11437..18695,z=34751..49881
on x=53028..56131,y=35999..55917,z=-38445..-8970
on x=-12168..24280,y=73125..83649,z=-7630..18265
on x=19774..55066,y=-75587..-53707,z=-41851..-15353
on x=17266..49988,y=54303..69619,z=-62323..-32886
on x=-46474..-32780,y=-78447..-49984,z=3704..21974
on x=-25528..-3503,y=-53227..-32301,z=-69116..-48230
on x=-67080..-60452,y=-68368..-44380,z=-14379..14235
on x=-62528..-55362,y=-59568..-32451,z=26198..38096
on x=5599..35898,y=-83393..-69772,z=-8013..13852
on x=-82249..-51282,y=-31763..-12978,z=-30748..-6520
on x=45981..73363,y=-26777..-10677,z=37259..63878
on x=-46589..-30329,y=1785..21832,z=49510..77980
on x=-7534..23717,y=-85101..-67807,z=25566..51360
on x=9117..23547,y=-71714..-63705,z=25028..59958
on x=-18646..-4793,y=52109..60295,z=-64290..-50323
on x=-66654..-29588,y=-45701..-21918,z=53046..69225
on x=-7132..12556,y=35030..56966,z=-71502..-55517
on x=26819..35349,y=-33627..-21363,z=-66738..-59201
on x=-3279..20859,y=67343..82349,z=11810..41816
on x=-83348..-54388,y=18621..45372,z=-13279..-7935
on x=-70976..-51824,y=-17434..-12917,z=33113..40484
